laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,screen_width,screen_height,IPS Panel,CPU Brand,CPU GHz,MemoryAmount,MemoryType
48,Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8,256GB SSD +  1TB HDD,AMD,Windows 10,3.2,1299.0,1920,1080,0,AMD,3.0,256,SSD
49,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB SSD,AMD,Windows 10,2.3,639.0,1920,1080,0,Intel,2.5,256,SSD
50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Nvidia,Windows 10,2.8,466.0,1366,768,0,Intel,1.1,1000,HDD
51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4,64GB Flash Storage,Intel,Android,0.69,319.0,1920,1200,1,Intel,1.44,64,Flash
52,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia,Windows 10,2.2,841.0,1920,1080,1,Intel,1.8,256,SSD
53,HP,255 G6,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD,Windows 10,1.86,398.49,1920,1080,0,AMD,2.5,256,SSD
54,HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel,Windows 10,1.49,1103.0,1920,1080,0,Intel,1.8,512,SSD
55,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel,Windows 10,2.4,384.0,1366,768,0,Intel,2.4,1000,HDD
56,Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD,Windows 10,2.13,767.8,1920,1080,0,Intel,1.8,256,SSD
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel,Windows 10,1.91,439.0,1920,1080,0,Intel,2.0,128,SSD
58,Asus,VivoBook Max,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel,Windows 10,2.0,586.19,1366,768,0,Intel,2.5,256,SSD
59,MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia,Windows 10,2.43,2449.0,1920,1080,0,Intel,2.8,256,SSD
60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,Intel,Linux,2.0,415.0,1920,1080,0,Intel,2.0,256,SSD
61,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD,Windows 10,2.8,1299.0,1920,1080,0,Intel,1.8,256,SSD
62,Dell,Vostro 5471,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel,Windows 10,1.7,879.0,1920,1080,0,Intel,1.6,256,SSD
63,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8,256GB SSD,Intel,No OS,1.7,599.0,1920,1080,1,Intel,2.7,256,SSD
64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel,Windows 10,1.4,941.0,1920,1080,0,Intel,1.6,256,SSD
66,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel,Windows 10,1.86,690.0,1920,1080,0,Intel,2.5,256,SSD
67,Asus,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia,Windows 10,1.8,1983.0,1920,1080,0,Intel,2.8,512,SSD
68,HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB HDD,AMD,Windows 10,1.86,438.69,1366,768,0,Intel,2.0,500,HDD
69,HP,Stream 14-AX040wm,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,32GB SSD,Intel,Windows 10,1.44,229.0,1366,768,0,Intel,1.6,32,SSD
70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel,Windows 10,1.9,549.0,1920,1080,0,Intel,2.5,1000,HDD
71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,1TB HDD,Nvidia,Linux,3.0,949.0,1920,1080,0,Intel,2.8,1000,HDD
72,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel,Windows 10,1.252,1089.0,2256,1504,0,Intel,2.5,128,SSD
73,Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD,Windows 10,1.4,955.0,1920,1080,1,Intel,1.8,256,SSD
74,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD,Windows 10,2.2,870.0,1920,1080,0,Intel,1.8,256,SSD
75,MSI,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.7,1095.0,1920,1080,0,Intel,2.5,128,SSD
76,Acer,Aspire E5-475,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,8,1TB HDD,Intel,Windows 10,2.1,389.0,1366,768,0,Intel,2.0,1000,HDD
77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia,Windows 10,2.2,949.0,1920,1080,0,Intel,2.8,1000,HDD
78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,2TB HDD,Intel,No OS,2.2,519.0,1920,1080,0,Intel,2.5,2000,HDD
79,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Intel,Windows 10,2.02,855.0,1920,1080,0,Intel,1.8,128,SSD
80,Acer,Aspire A515-51G-32MX,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia,Windows 10,2.2,530.0,1920,1080,0,Intel,2.7,1000,HDD
81,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.5,977.0,1920,1080,0,Intel,1.6,128,SSD
82,Dell,Latitude 5590,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel,Windows 10,1.88,1096.16,1920,1080,1,Intel,1.6,256,SSD
83,Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8,512GB SSD,Intel,macOS,0.92,1510.0,2304,1440,1,Intel,1.3,512,SSD
84,HP,ProBook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel,Windows 10,1.63,860.0,1920,1080,0,Intel,1.6,256,SSD
85,Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,128GB SSD,AMD,Windows 10,2.2,399.0,1920,1080,0,AMD,2.5,128,SSD
86,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1TB HDD,AMD,Windows 10,2.1,395.0,1366,768,0,AMD,3.0,1000,HDD
87,Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.65,1349.0,1920,1080,1,Intel,2.8,128,SSD
88,HP,Pavilion 15-CK000nv,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia,Windows 10,1.83,699.0,1920,1080,1,Intel,1.8,256,SSD
89,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel,Windows 10,1.96,598.99,1920,1080,0,Intel,2.5,256,SSD
90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.2,1449.0,1920,1080,1,Intel,2.8,128,SSD
91,Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel,Windows 10,1.21,1649.0,1920,1080,1,Intel,1.8,256,SSD
92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8,1TB HDD,AMD,Windows 10,2.45,699.0,1920,1080,0,AMD,3.0,1000,HDD
93,Acer,Aspire 5,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Nvidia,Windows 10,2.2,689.0,1920,1080,0,Intel,1.8,1000,HDD
94,HP,Probook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel,Windows 10,1.49,1197.0,1920,1080,0,Intel,1.8,512,SSD
95,Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia,Windows 10,2.65,1195.0,1920,1080,0,Intel,2.5,256,SSD
96,Asus,Zenbook UX430UA,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel,Windows 10,1.25,1049.0,1920,1080,0,Intel,2.7,256,SSD
97,Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel,Windows 10,1.5,847.0,1920,1080,1,Intel,1.6,256,SSD
98,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD,Linux,2.2,599.9,1920,1080,0,Intel,2.7,1000,HDD
99,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD,Linux,2.2,485.0,1920,1080,0,Intel,2.0,256,SSD
100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6,256GB SSD,Nvidia,Windows 10,2.0,577.0,1920,1080,0,Intel,2.4,256,SSD
102,HP,Omen 15-ce007nv,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.62,1249.0,1920,1080,1,Intel,2.8,128,SSD
103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD,Windows 10,1.91,719.0,1920,1080,0,Intel,2.7,256,SSD
104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD,Windows 10,2.1,349.0,1920,1080,0,AMD,1.5,500,HDD
105,Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,AMD,Linux,2.2,647.0,1920,1080,0,Intel,1.6,1000,HDD
106,HP,Envy 13-ad009n,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia,Windows 10,1.38,1119.0,1920,1080,1,Intel,2.7,256,SSD
107,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel,Windows 10,1.252,1340.0,2256,1504,0,Intel,2.5,256,SSD
108,HP,Pavilion 14-BK001nv,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256GB SSD,Nvidia,Windows 10,1.58,659.0,1920,1080,1,Intel,2.5,256,SSD
109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel,Windows 10,1.85,414.9,1920,1080,0,Intel,2.0,1000,HDD
110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia,Windows 10,1.3,1193.0,1920,1080,1,Intel,2.7,256,SSD
111,MSI,GP62M 7REX,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia,Windows 10,2.2,1299.0,1920,1080,0,Intel,2.8,256,SSD
112,Lenovo,Thinkpad T470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel,Windows 10,1.58,1480.0,1920,1080,1,Intel,2.7,256,SSD
113,Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  1TB HDD,Nvidia,Windows 10,1.5,1262.0,1920,1080,0,Intel,1.8,256,SSD
114,Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8,256GB SSD,Intel,Windows 10,1.23,1379.0,3200,1800,0,Intel,2.4,256,SSD
115,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel,Windows 10,1.37,1399.0,1920,1080,1,Intel,2.5,256,SSD
116,HP,Probook 440,Notebook,14.0,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel,Windows 10,1.63,722.0,1366,768,1,Intel,1.6,500,HDD
117,Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel,Windows 10,1.21,1629.0,1920,1080,1,Intel,1.6,256,SSD
118,HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel,Windows 10,1.26,1398.99,1920,1080,1,Intel,1.6,256,SSD
119,HP,Probook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel,Windows 10,1.63,1084.0,1920,1080,0,Intel,1.8,512,SSD
120,Dell,Inspiron 7570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD +  1TB HDD,Nvidia,Windows 10,2.16,1130.33,1920,1080,1,Intel,1.8,256,SSD
121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Nvidia,Windows 10,2.0,564.0,1920,1080,0,Intel,2.0,1000,HDD
122,Asus,VivoBook S15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia,Windows 10,1.7,1118.0,1920,1080,0,Intel,1.8,256,SSD
123,Acer,Spin 3,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6,1TB HDD,Intel,Windows 10,2.1,479.0,1920,1080,1,Intel,2.4,1000,HDD
124,MSI,GS63VR 7RG,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia,Windows 10,1.8,2241.5,1920,1080,0,Intel,2.8,256,SSD
125,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia,No OS,2.2,629.0,1920,1080,0,Intel,2.5,256,SSD
126,HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia,Windows 10,2.5,1271.0,1920,1080,0,Intel,1.8,512,SSD
127,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,256GB SSD,AMD,Windows 10,2.1,451.0,1366,768,0,AMD,3.0,256,SSD
128,HP,250 G6,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel,No OS,1.86,259.0,1366,768,0,Intel,1.6,500,HDD
